TR_YMD_HMS,TPS,ELPS_AVG,ELPS_MIN,ELPS_MAX
2.02207E+13,327.2984468,0.15718147,0,140.9149807
2.02207E+13,302.1072641,0.153855073,0,142.4945237
2.02207E+13,282.376836,0.149922303,0,146.8966894
2.02207E+13,256.7717606,0.145418988,0,152.6785442
2.02207E+13,241.2096961,0.140408701,0,158.3274414
2.02207E+13,208.8970199,0.13497914,0,162.4412196
2.02207E+13,195.143698,0.129235979,0,163.8891265
2.02207E+13,167.064071,0.123295065,0,161.9348497
2.02207E+13,160.8031636,0.117274041,0,156.3081393
2.02207E+13,145.4366988,0.111284499,0,147.2181218
2.02207E+13,132.3190023,0.105425703,0,135.3086761
2.02207E+13,121.9802301,0.099780597,0,121.5632614
2.02207E+13,122.0509661,0.094414482,0,107.1725
2.02207E+13,110.2735149,0.089376311,0,93.3819301
2.02207E+13,110.4575346,0.084702131,0,81.33919515
2.02207E+13,118.5750687,0.080419878,0,71.95936562
2.02207E+13,112.4497663,0.076554511,0,65.82423453
2.02207E+13,118.0502283,0.07313243,0,63.12670711
2.02207E+13,119.6103451,0.070184238,0,63.66545861
2.02207E+13,106.3600688,0.067745175,0,66.88863401
2.02207E+13,115.0613211,0.06585297,0,71.97931909
2.02207E+13,107.6540533,0.064543278,0,77.97056531
2.02207E+13,97.84611183,0.063843317,0,83.87448535
2.02207E+13,93.54386779,0.063764708,0,88.80871082
2.02207E+13,86.05739262,0.064296709,0,92.10441059
2.02207E+13,81.55810867,0.065401123,0,93.38293014
2.02207E+13,77.39642188,0.067009996,0,92.59251309
2.02207E+13,76.92148987,0.069026903,0,90.00190471
2.02207E+13,85.10788014,0.071332158,0,86.15321417
2.02207E+13,97.03902198,0.07379173,0,81.78151413
2.02207E+13,109.287723,0.076269082,0,77.71265195
2.02207E+13,126.5462997,0.078638681,0,74.75315833
2.02207E+13,147.7619058,0.080799579,0,73.58670444
2.02207E+13,177.2526655,0.082687302,0,74.69025541
2.02207E+13,192.6884685,0.084282415,0,78.28011128
2.02207E+13,227.2643275,0.085614414,0,84.29383768
2.02207E+13,261.1652349,0.086760126,0,92.40923492
2.02207E+13,295.6749311,0.087836462,0,102.0966148
2.02207E+13,316.7908416,0.088988053,0,112.6963792
2.02207E+13,329.8115437,0.09037101,0,123.5107594
2.02207E+13,338.2885936,0.092134569,0,133.8969664
2.02207E+13,345.9954738,0.094402738,0,143.3490907
2.02207E+13,351.5746413,0.09725816,0,151.5578472
2.02207E+13,354.2985742,0.100730202,0,158.4404209
2.02207E+13,334.2460081,0.104788851,0,164.1368073
2.02207E+13,316.5498122,0.109345308,0,168.9736153
2.02207E+13,332.5260034,0.1142594,0,173.400701
2.02207E+13,331.886722,0.119353083,0,177.9096714
2.02207E+13,309.7429368,0.124428537,0,182.9457609
2.02207E+13,310.719,0.129288782,0,188.8255322
2.02207E+13,325.5680536,0.133758373,0,195.672166
2.02207E+13,343.7093096,0.137701683,0,203.3778748
2.02207E+13,334.9276738,0.141036569,0,211.5994852
2.02207E+13,347.4168452,0.143741716,0,219.788923
2.02207E+13,380.5431628,0.145856747,0,227.2557507
2.02207E+13,366.993201,0.147475056,0,233.2546243
2.02207E+13,401.6611223,0.148730236,0,237.0870902
2.02207E+13,426.5687093,0.149777763,0,238.2049815
2.02207E+13,405.2789455,0.150774207,0,236.302061
2.02207E+13,437.1116008,0.151856587,0,231.3816006
2.02207E+13,454.9971393,0.153124432,0,223.7901643
2.02207E+13,464.327205,0.154626861,0,214.211686
2.02207E+13,438.4235649,0.156356309,0,203.6205524
2.02207E+13,427.059501,0.158249744,0,193.1972749
2.02207E+13,452.367362,0.160197275,0,184.2148889
2.02207E+13,423.6839146,0.162057091,0,177.9079087
2.02207E+13,426.5347096,0.163674911,0,175.3380539
2.02207E+13,429.963972,0.1649055,0,177.271754
2.02207E+13,432.3358816,0.165633557,0,184.0835256
2.02207E+13,437.4769314,0.165791321,0,195.6967842
2.02207E+13,457.6534318,0.16537064,0,211.569777
2.02207E+13,484.6208104,0.164427915,0,230.7295295
2.02207E+13,496.8382857,0.163081211,0,251.85151
2.02207E+13,491.8425478,0.161499779,0,273.3777243
2.02207E+13,490.0102074,0.159887179,0,293.6616947
2.02207E+13,519.3410064,0.158459976,0,311.1257379
2.02207E+13,513.9902659,0.157424534,0,324.4144713
2.02207E+13,502.0204868,0.156954649,0,332.5287098
2.02207E+13,513.3253605,0.157172677,0,334.9258432
2.02207E+13,471.7000973,0.158136372,0,331.5762063
2.02207E+13,507.8498001,0.159832939,0,322.9694882
2.02207E+13,498.4048235,0.162180963,0,310.0703945
2.02207E+13,488.4569551,0.165039881,0,294.228016
2.02207E+13,465.1001487,0.168225796,0,277.0481088
2.02207E+13,459.0766561,0.171531685,0,260.2412557
2.02207E+13,446.8774454,0.174749547,0,245.4622523
2.02207E+13,465.6254203,0.177691879,0,234.1568211
2.02207E+13,490.6647697,0.180209986,0,227.4308127
2.02207E+13,487.0955377,0.182207081,0,225.9545521
2.02207E+13,475.9016001,0.183644824,0,229.9111837
2.02207E+13,462.8267719,0.184542773,0,238.9932107
2.02207E+13,465.9223174,0.184971093,0,252.4463936
2.02207E+13,492.676941,0.185037705,0,269.1553295
2.02207E+13,527.3078523,0.18487167,0,287.7608776
2.02207E+13,509.3000382,0.18460503,0,306.7965673
2.02207E+13,517.2724371,0.184355414,0,324.8295223
2.02207E+13,505.7164078,0.18421156,0,340.5914029
2.02207E+13,486.2845362,0.184223441,0,353.0863876
2.02207E+13,506.2570303,0.184398034,0,361.6660757
2.02207E+13,492.8906428,0.184701044,0,366.0650726
2.02207E+13,478.606062,0.185064086,0,366.3954597
2.02207E+13,502.0337765,0.185396192,0,363.1028596
2.02207E+13,469.196704,0.185597978,0,356.890886
2.02207E+13,463.8594382,0.185576545,0,348.6239718
2.02207E+13,479.6746552,0.185259174,0,339.220559
2.02207E+13,509.4581983,0.184604102,0,329.5492226
2.02207E+13,494.5178838,0.183607136,0,320.3394389
2.02207E+13,514.1262113,0.182303445,0,312.1165376
2.02207E+13,462.3397189,0.180764516,0,305.1671667
